game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,1,0,0,3.088,0,2,20,0.986,20,0,1053
0,1,1,0,2.251,0,2,19,0.519,19,0,1165
0,1,2,0,1.442,0,2,19,0.365,19,0,1165
0,1,3,0,0.947,0,2,6,0.519,1,0,1887
0,2,0,0,10,0,0,,0,,0,
0,1,1,0,0.053,0,2,16,0.676,16,1,1271
0,1,2,0,2.768,0,2,17,0.831,17,1,1215
0,0,3,0,1.987,0,2,7,0.368,2,1,1565
1,0,0,0,0.641,0,2,8,0.356,3,1,1473
1,0,0,0,0.666,0,2,9,0.332,4,1,1457
2,0,0,0,0.45,0,2,10,0.214,5,1,1305
