tot_elapsed_time,avg_lev_assistance,tot_react_time,n_agent_feedback,n_attempt,n_timeout
tot_elapsed_time,avg_lev_assistance,tot_react_time,n_agent_feedback,n_attempt,n_timeout
19.436000000000003,0.6,41.084,13,13,0
tot_elapsed_time,avg_lev_assistance,tot_react_time,n_agent_feedback,n_attempt,n_timeout
tot_elapsed_time,avg_lev_assistance,tot_react_time,n_agent_feedback,n_attempt,n_timeout
tot_elapsed_time,avg_lev_assistance,tot_react_time,n_agent_feedback,n_attempt,n_timeout
11.026,0.6,22.465,10,10,0
tot_elapsed_time,avg_lev_assistance,tot_react_time,n_agent_feedback,n_attempt,n_timeout
tot_elapsed_time,avg_lev_assistance,tot_react_time,n_agent_feedback,n_attempt,n_timeout
tot_elapsed_time,avg_lev_assistance,tot_react_time,n_agent_feedback,n_attempt,n_timeout
tot_elapsed_time,avg_lev_assistance,tot_react_time,n_agent_feedback,n_attempt,n_timeout
2.1870000000000003,1.0,18.068,5,5,0
tot_elapsed_time,avg_lev_assistance,tot_react_time,n_agent_feedback,n_attempt,n_timeout
4.445,1.0,20.803999999999995,5,5,0
