cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
3.44,0,,0.0,4,0,13,1,0,21.503,715
6.597,0,,0.0,2,0,9,2,0,8.562,671
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
0.0,0,,0.0,1,0,1,1,0,0.0,715
cum_elapsed_time,game_state,user_action,avg_agent_assistance_per_move,attempt,n_agent_feedback,from,to,timeout,cum_react_time,token_id
6.516,0,,0.0,4,0,20,1,0,3.339,715
8.075,0,,0.0,2,0,13,2,0,3.083,671
5.272,1,,0.0,3,0,17,3,0,25.438,667
2.002,1,,0.0,1,0,11,4,0,2.597,661
1.498,2,,0.0,1,0,18,5,0,4.789,619
